physical_case,run_id,representation,model_label,trained_objective,checkpoint_iteration,objective,evaluation_state,support,value,history_kind,fitted_objective,checkpoint_parameter_pytree_sha256,checkpoint_path
Test 2B,t2b-b-m1y,B,M1-Y,M1-Y,10,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.2017415307925937,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,bb4de844fcfef20f82290fc8b30e2b398ab6cfe2d89dd4a872f0736a42fdcfce,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-B/m1y-seed0-m20-10k/checkpoint_000000010_parameters.npz
Test 2B,t2b-b-m1y,B,M1-Y,M1-Y,20,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.1087594604023691,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,c9a4f98d97f1f6953dcd85433f7be653e7883230266f03b17b18086f0d40ea25,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-B/m1y-seed0-m20-10k/checkpoint_000000020_parameters.npz
Test 2B,t2b-b-m1y,B,M1-Y,M1-Y,100,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.0087164113399509,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,072a66c244feb3e131e39076536d26459c9b1fddd03e03f8d5351813bcd7480d,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-B/m1y-seed0-m20-10k/checkpoint_000000100_parameters.npz
Test 2B,t2b-b-m1y,B,M1-Y,M1-Y,500,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.0003624471168815,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,8ea767ed1ba7b80c8e2cda0e2d85c0ee4f97956f1b7f8a59508d0517fc8a3757,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-B/m1y-seed0-m20-10k/checkpoint_000000500_parameters.npz
Test 2B,t2b-b-m1y,B,M1-Y,M1-Y,1000,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.000301714300691,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,74d785bb4b2c130bfae950ef22df57c98bfdce6fa493ee39f113168a450966ac,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-B/m1y-seed0-m20-10k/checkpoint_000001000_parameters.npz
Test 2B,t2b-b-m1y,B,M1-Y,M1-Y,5000,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.0001063949973905,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,a818a53f28b060e65e50e8ceebb29cfc077f8392c2259c2b54bca92270f59b38,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-B/m1y-seed0-m20-10k/checkpoint_000005000_parameters.npz
Test 2B,t2b-b-m1y,B,M1-Y,M1-Y,10000,J_M1_Y,Y,TRAINING TRUTH SUPPORT,3.261043519805743e-05,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,1adbd173137cbf10928ee4b25865258fc97f74b3c2c4c0a09cfd8629020566ab,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-B/m1y-seed0-m20-10k/checkpoint_000010000_parameters.npz
Test 2B,t2b-b-h1,B,H1,H1,0,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0.0002232160585281,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,cfc9d3da6a8d07d74ae17e3d9a5beabe434e63b8005e95df4a1925c3a63c609c,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/h1-from-m1-m20-5k/checkpoint_000000000_parameters.npz
Test 2B,t2b-b-h1,B,H1,H1,1,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0.0002050129556552,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,d22668e2aed362752e7fed1ea514fa7726bd095e4a78b16f0649cb8a288ba7e3,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/h1-from-m1-m20-5k/checkpoint_000000001_parameters.npz
Test 2B,t2b-b-h1,B,H1,H1,5,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0.0001827729482912,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,17a2b9ee15ffdf1069bd0c17f2b82195e018460ee934c60ca92ea41df9722147,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/h1-from-m1-m20-5k/checkpoint_000000005_parameters.npz
Test 2B,t2b-b-h1,B,H1,H1,10,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0.0001317405063711,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,cc79175e2ab1b3382d6eab0c2a01268596db05cb3aa0d5f0be037eb14490dc6b,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/h1-from-m1-m20-5k/checkpoint_000000010_parameters.npz
Test 2B,t2b-b-h1,B,H1,H1,20,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0.0001187373613367,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,6a6818ee68e0a0e69eff6d0e4ca3f9872948a10f71f72d24dc6046bd4cd7730b,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/h1-from-m1-m20-5k/checkpoint_000000020_parameters.npz
Test 2B,t2b-b-h1,B,H1,H1,100,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,8.081725316017496e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,9370fc528568f1e95bf674e111b58b738056e258b7736901e245bc32925630d7,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/h1-from-m1-m20-5k/checkpoint_000000100_parameters.npz
Test 2B,t2b-b-h1,B,H1,H1,500,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,6.056265016235022e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,f067cdc8fd26ac6bdc7a2df9a505490950dde1646875d0d8d21ceb9f2e6fac84,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/h1-from-m1-m20-5k/checkpoint_000000500_parameters.npz
Test 2B,t2b-b-h1,B,H1,H1,1000,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,5.049268541097489e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,a2a5d8be94d04ecb9d7bc2aa2b96ea9d2f0561b61340a20edfce955ff25e9f7a,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/h1-from-m1-m20-5k/checkpoint_000001000_parameters.npz
Test 2B,t2b-b-h1,B,H1,H1,5000,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,2.2820014210665148e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,9ebda59a2f74f1522e595b854a06f7c1af01ef9c85a734dc0aab1996c7ac5e03,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/h1-from-m1-m20-5k/checkpoint_000005000_parameters.npz
Test 2B,t2b-b-h2,B,H2,H2,0,J_H2,recursive model state,TRAINING TRUTH WINDOWS,3.99499252746403e-05,EXISTING DIAGNOSTIC INITIAL ENDPOINT,True,,
Test 2B,t2b-b-h2,B,H2,H2,20,J_H2,recursive model state,TRAINING TRUTH WINDOWS,3.990593206801135e-05,RECORDED TRAINING FINAL ENDPOINT,True,,
Test 2B,t2b-b-h5,B,H5,H5,0,J_H5,recursive model state,TRAINING TRUTH WINDOWS,7.420138285232397e-05,EXISTING DIAGNOSTIC INITIAL ENDPOINT,True,,
Test 2B,t2b-b-h5,B,H5,H5,20,J_H5,recursive model state,TRAINING TRUTH WINDOWS,7.397756301974212e-05,RECORDED TRAINING FINAL ENDPOINT,True,,
Test 2B,t2b-c-m1y,C,M1-Y,M1-Y,0,J_M1_Y,Y,TRAINING TRUTH SUPPORT,1.159404925157391,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,e52dd73e3f97d44adf4d55354b1c8d9a9b252186a17cae4ad09410270b86df1e,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-C/m1y-seed0-m20-10k/checkpoint_000000000_parameters.npz
