run_id,physical_case,representation,model_label,trained_objective,checkpoint_iteration,objective,evaluation_state,support,state_indices,value,history_kind,fitted_objective,checkpoint_parameter_pytree_sha256,checkpoint_path
t2b-a-h1,Test 2B,A,H1,H1,10,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0..79,0.00010099104563297526,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,4da79d222a095588520d7b378841b4e1d13ff73d97830d0fc1d5ead42c90336e,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000000010_parameters.npz
t2b-a-h1,Test 2B,A,H1,H1,20,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0..79,8.634996929814507e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,b9ce6231200bfac508f013ed895876f66efb68014e8b7a627aa40a429d0365a6,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000000020_parameters.npz
t2b-a-h1,Test 2B,A,H1,H1,100,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0..79,6.27323669818677e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,a4df230205b08db5b0d5fc4bf34d462e3f3b088c5672e1d87cdb59bd2de205dd,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000000100_parameters.npz
t2b-a-h1,Test 2B,A,H1,H1,500,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0..79,5.2182408479248794e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,7b86597a0db7f191e1588c12187d14ae6a935e1ef129f9ac6c44bd980d29923e,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000000500_parameters.npz
t2b-a-h1,Test 2B,A,H1,H1,1000,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0..79,4.7943896386394376e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,d45671a935ffb634a8815ea045af390d0eb69ba1ba7a22a48a545385f5cbc495,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000001000_parameters.npz
t2b-a-h1,Test 2B,A,H1,H1,5000,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0..79,3.001818343501887e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,73f39ca1e345256157890f7c918ac41a43684262e4ad11c9465bd35706b16f83,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000005000_parameters.npz
t2b-b-m2x-independent,Test 2B,B,M2-X-independent,M2-X,0,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,0.9351960271502675,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,cfadd9f3ee02a78c5b3a946b88c039d9f7ed34e719325ff22c92e1fe4afac056,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m2x-seed0-m20-10k/checkpoint_000000000_parameters.npz
t2b-b-m2x-independent,Test 2B,B,M2-X-independent,M2-X,1,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,0.7366505472402304,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,b72770a50e619b860ce548c1de920cb7006472bdaac5681bdf66a9d5b19f73de,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m2x-seed0-m20-10k/checkpoint_000000001_parameters.npz
t2b-b-m2x-independent,Test 2B,B,M2-X-independent,M2-X,5,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,0.3393953355734343,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,473811d8d48da1778d25f436ffac3d5379fb42aef0183cfed4d9d45e24986266,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m2x-seed0-m20-10k/checkpoint_000000005_parameters.npz
t2b-b-m2x-independent,Test 2B,B,M2-X-independent,M2-X,10,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,0.18821313669583226,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,60ec5e2c683e71d49bce996fef8991e6e69745aa9171aa747df66b61b38551b8,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m2x-seed0-m20-10k/checkpoint_000000010_parameters.npz
t2b-b-m2x-independent,Test 2B,B,M2-X-independent,M2-X,20,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,0.08409138563508953,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,0f2bb502bc5824453be54b30b0166b6784b90b19f936e446225f2e6a9be42578,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m2x-seed0-m20-10k/checkpoint_000000020_parameters.npz
t2b-b-m2x-independent,Test 2B,B,M2-X-independent,M2-X,100,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,0.002516631870306511,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,6d866b809303a06bfbbf46441aeb9d539389a1dd3e587bc2b0d8ebe0c3c70364,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m2x-seed0-m20-10k/checkpoint_000000100_parameters.npz
t2b-b-m2x-independent,Test 2B,B,M2-X-independent,M2-X,500,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,0.00011844534049660279,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,7a9be2bd9f569d2f512ee5d9713809c0c4bef7343667d3900c8ccb7cbf90439a,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m2x-seed0-m20-10k/checkpoint_000000500_parameters.npz
t2b-b-m2x-independent,Test 2B,B,M2-X-independent,M2-X,1000,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,0.00010012013319209911,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,ae00048b51af46e5a47797580057548a38e5de742ba2e66c55fd97115f635f0f,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m2x-seed0-m20-10k/checkpoint_000001000_parameters.npz
t2b-b-m2x-independent,Test 2B,B,M2-X-independent,M2-X,5000,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,5.2577071110612056e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,d3082ecf6a90bfeddce5fccb56859d724d89df9d19563c50a9dab202fa02e2c1,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m2x-seed0-m20-10k/checkpoint_000005000_parameters.npz
t2b-b-m2x-independent,Test 2B,B,M2-X-independent,M2-X,10000,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,1.863373258646678e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,8292c556c31e15a303cc9010d9174149ab46cf31ce6ef385ffcb22d406b9b74a,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m2x-seed0-m20-10k/checkpoint_000010000_parameters.npz
t2b-b-m2x-warm,Test 2B,B,warm M2-X,M2-X,0,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,2.6983137744699252e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,cfc9d3da6a8d07d74ae17e3d9a5beabe434e63b8005e95df4a1925c3a63c609c,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m1-to-m2x-m20-5k/checkpoint_000000000_parameters.npz
t2b-b-m2x-warm,Test 2B,B,warm M2-X,M2-X,1,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,2.6982969857897836e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,949635c066b457a8b40332d081f6d5560f287828ded97615d9664c50568d8137,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m1-to-m2x-m20-5k/checkpoint_000000001_parameters.npz
t2b-b-m2x-warm,Test 2B,B,warm M2-X,M2-X,5,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,2.697250998064131e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,5c693fae50c61e91e5b4799780df1ed5d57f8e797523943ffcc1f6055597addb,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m1-to-m2x-m20-5k/checkpoint_000000005_parameters.npz
